dow_weekday,start_hour,trips_by_hr_day
Weekday,8,128999
Weekday,17,118332
Weekday,9,90264
Weekday,16,79000
Weekday,18,78188
Weekday,7,65900
Weekday,15,37424
Weekday,19,36584
Weekday,12,36382
Weekday,10,34888
Weekday,13,33029
Weekday,11,30712
Weekday,14,27590
Weekday,6,19830
Weekday,20,19492
Weekday,21,12828
Weekend,13,10685
Weekend,12,10568
Weekend,14,10262
Weekend,15,10202
Weekend,16,9755
Weekend,11,9695
Weekday,22,8343
Weekend,17,7970
Weekend,10,7894
Weekend,18,6381
Weekend,9,5854
Weekday,5,4799
Weekday,23,4797
Weekend,19,4487
Weekend,8,3465
Weekend,20,3255
Weekend,21,2430
Weekend,22,1927
Weekday,0,1696
Weekend,7,1631
Weekend,23,1398
Weekday,4,1273
Weekend,0,1233
Weekend,1,814
Weekday,1,797
Weekend,6,689
Weekend,2,457
Weekday,3,427
Weekday,2,420
Weekend,5,299
Weekend,3,178
Weekend,4,125
