start_station_name,end_station_name,number_of_trips
Embarcadero at Sansome,Embarcadero at Sansome,2866
Harry Bridges Plaza (Ferry Building),Harry Bridges Plaza (Ferry Building),2364
University and Emerson,University and Emerson,1184
Market at 4th,Market at 4th,944
Steuart at Market,Steuart at Market,911
2nd at Townsend,2nd at Townsend,895
Market at 10th,Market at 10th,843
Embarcadero at Vallejo,Embarcadero at Vallejo,840
Davis at Jackson,Davis at Jackson,827
Powell at Post (Union Square),Powell at Post (Union Square),822
Powell Street BART,Powell Street BART,811
Embarcadero at Bryant,Embarcadero at Bryant,780
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain (Townsend at 4th),704
Mountain View Caltrain Station,Mountain View Caltrain Station,697
Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue,625
Townsend at 7th,Townsend at 7th,595
Palo Alto Caltrain Station,Palo Alto Caltrain Station,552
Civic Center BART (7th at Market),Civic Center BART (7th at Market),547
Market at Sansome,Market at Sansome,531
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain 2 (330 Townsend),526
Clay at Battery,Clay at Battery,514
2nd at South Park,2nd at South Park,510
San Jose Civic Center,San Jose Civic Center,509
South Van Ness at Market,South Van Ness at Market,504
Embarcadero at Folsom,Embarcadero at Folsom,484
5th at Howard,5th at Howard,471
Yerba Buena Center of the Arts (3rd @ Howard),Yerba Buena Center of the Arts (3rd @ Howard),446
Mechanics Plaza (Market at Battery),Mechanics Plaza (Market at Battery),436
San Francisco City Hall,San Francisco City Hall,399
Spear at Folsom,Spear at Folsom,392
Temporary Transbay Terminal (Howard at Beale),Temporary Transbay Terminal (Howard at Beale),364
Beale at Market,Beale at Market,341
Howard at 2nd,Howard at 2nd,329
Washington at Kearny,Washington at Kearny,314
Broadway St at Battery St,Broadway St at Battery St,314
California Ave Caltrain Station,California Ave Caltrain Station,312
Arena Green / SAP Center,Arena Green / SAP Center,303
Commercial at Montgomery,Commercial at Montgomery,298
Santa Clara at Almaden,Santa Clara at Almaden,294
2nd at Folsom,2nd at Folsom,285
Japantown,Japantown,284
Golden Gate at Polk,Golden Gate at Polk,280
San Pedro Square,San Pedro Square,278
San Jose City Hall,San Jose City Hall,261
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,258
Mountain View City Hall,Mountain View City Hall,254
MLK Library,MLK Library,233
Cowper at University,Cowper at University,232
Castro Street and El Camino Real,Castro Street and El Camino Real,229
Post at Kearny,Post at Kearny,225
San Salvador at 1st,San Salvador at 1st,212
Paseo de San Antonio,Paseo de San Antonio,204
Redwood City Caltrain Station,Redwood City Caltrain Station,196
Evelyn Park and Ride,Evelyn Park and Ride,189
San Antonio Caltrain Station,San Antonio Caltrain Station,177
Ryland Park,Ryland Park,168
Rengstorff Avenue / California Street,Rengstorff Avenue / California Street,160
SJSU - San Salvador at 9th,SJSU - San Salvador at 9th,142
SJSU 4th at San Carlos,SJSU 4th at San Carlos,141
Adobe on Almaden,Adobe on Almaden,136
San Mateo County Center,San Mateo County Center,117
Charleston Park/ North Bayshore Area,Charleston Park/ North Bayshore Area,116
Park at Olive,Park at Olive,111
San Antonio Shopping Center,San Antonio Shopping Center,102
St James Park,St James Park,101
Santa Clara County Civic Center,Santa Clara County Civic Center,98
Washington at Kearney,Washington at Kearney,89
Redwood City Public Library,Redwood City Public Library,67
Stanford in Redwood City,Stanford in Redwood City,63
Post at Kearney,Post at Kearney,59
Franklin at Maple,Franklin at Maple,39
Mezes Park,Mezes Park,36
Redwood City Medical Center,Redwood City Medical Center,21
Middlefield Light Rail Station,Middlefield Light Rail Station,17
Broadway at Main,Broadway at Main,16
S. Market St at Park Ave,S. Market St at Park Ave,14
Mezes,Mezes,10
Cyril Magnin St at Ellis St,Cyril Magnin St at Ellis St,10
5th S at E. San Salvador St,5th S at E. San Salvador St,7
Kaiser Hospital,Kaiser Hospital,6
Sequoia Hospital,Sequoia Hospital,4
5th St at Folsom St,5th St at Folsom St,2
